Source,word,n,cumulative_freq,cumulative_pct
DeepSeek-R1,emotional,125845,125845,2.463247995411933
DeepSeek-R1,player,114896,240741,4.712183921995027
DeepSeek-R1,sensitivity,113281,354022,6.929508378018381
DeepSeek-R1,justice,102976,456998,8.945126206104831
DeepSeek-R1,high,101977,558975,10.941189941875999
DeepSeek-R1,choice,92948,651923,12.760523047502351
DeepSeek-R1,prosocial,90202,742125,14.526106866344158
DeepSeek-R1,fairness,76595,818720,16.025351812178933
DeepSeek-R1,arousal,72857,891577,17.451430394575745
DeepSeek-R1,low,70018,961595,18.82193933925176
DeepSeek-R1,cost,62723,1024318,20.049658390594463
DeepSeek-R1,punishing,55650,1079968,21.1389329024517
DeepSeek-R1,seeing,48925,1128893,22.096574510584947
DeepSeek-R1,valence,48573,1177466,23.047326188292793
DeepSeek-R1,choices,48032,1225498,23.987488512704775
DeepSeek-R1,reactivity,47874,1273372,24.92455819789172
DeepSeek-R1,intensity,47442,1320814,25.853172059374756
DeepSeek-R1,unfairness,46051,1366865,26.754558951477858
DeepSeek-R1,punish,46016,1412881,27.655260765271617
DeepSeek-R1,feels,45133,1458014,28.538679032003923
DeepSeek-R1,depression,44142,1502156,29.402699795748795
DeepSeek-R1,score,41027,1543183,30.205748589962038
DeepSeek-R1,punishment,37944,1581127,30.94845177195505
DeepSeek-R1,injustice,37896,1619023,31.690215417980955
DeepSeek-R1,post,37362,1656385,32.421526726372875
DeepSeek-R1,unfair,36338,1692723,33.132794600799976
DeepSeek-R1,frustration,34576,1727299,33.80957367576809
DeepSeek-R1,strong,33994,1761293,34.47496087713512
DeepSeek-R1,satisfaction,33505,1794798,35.13077655583731
DeepSeek-R1,social,31555,1826353,35.74842358587603
DeepSeek-R1,despite,31519,1857872,36.36536596393943
DeepSeek-R1,negative,31054,1888926,36.97320658732155
DeepSeek-R1,initial,30258,1919184,37.56546657258258
DeepSeek-R1,though,29592,1948776,38.144690496300086
DeepSeek-R1,keep,27628,1976404,38.685471740030394
DeepSeek-R1,autism,27519,2003923,39.22411945416875
DeepSeek-R1,fair,27472,2031395,39.76184720600598
DeepSeek-R1,routine,26974,2058369,40.289827272184546
DeepSeek-R1,action,26726,2085095,40.81295306919976
DeepSeek-R1,anger,25937,2111032,41.32063524375575
DeepSeek-R1,aligns,25910,2136942,41.827788929330254
DeepSeek-R1,giving,25883,2162825,42.33441412592327
