Source,word,n,cumulative_freq,cumulative_pct
DeepSeek-R1,righteous,2640,4161811,81.46189839
DeepSeek-R1,rage,2635,4164446,81.513475
DeepSeek-R1,catharsis,2632,4167078,81.56499289
DeepSeek-R1,immediate,2630,4169708,81.61647163
DeepSeek-R1,dissonance,2599,4172307,81.66734359
DeepSeek-R1,eases,2598,4174905,81.71819597
DeepSeek-R1,clear,2593,4177498,81.76895049
DeepSeek-R1,outcomes,2591,4180089,81.81966586
DeepSeek-R1,greedy,2579,4182668,81.87014634
DeepSeek-R1,restores,2548,4185216,81.92002004
DeepSeek-R1,correct,2537,4187753,81.96967843
DeepSeek-R1,restoring,2534,4190287,82.0192781
DeepSeek-R1,alertness,2515,4192802,82.06850587
DeepSeek-R1,igh,2514,4195316,82.11771407
DeepSeek-R1,reduce,2507,4197823,82.16678525
DeepSeek-R1,muted,2504,4200327,82.21579771
DeepSeek-R1,enacting,2496,4202823,82.26465358
DeepSeek-R1,principles,2481,4205304,82.31321585
DeepSeek-R1,history,2463,4207767,82.36142578
DeepSeek-R1,predictable,2456,4210223,82.40949871
DeepSeek-R1,overriding,2448,4212671,82.45741504
DeepSeek-R1,minor,2436,4215107,82.50509649
DeepSeek-R1,wrong,2434,4217541,82.5527388
DeepSeek-R1,sense,2424,4219965,82.60018536
DeepSeek-R1,sustains,2423,4222388,82.64761236
DeepSeek-R1,dissatisfaction,2408,4224796,82.69474574
DeepSeek-R1,increases,2391,4227187,82.74154638
DeepSeek-R1,unjust,2386,4229573,82.78824915
DeepSeek-R1,fades,2376,4231949,82.83475618
DeepSeek-R1,increased,2374,4234323,82.88122406
DeepSeek-R1,rationale,2362,4236685,82.92745706
DeepSeek-R1,uphold,2348,4239033,82.97341603
DeepSeek-R1,exploitative,2342,4241375,83.01925755
DeepSeek-R1,releases,2340,4243715,83.06505993
DeepSeek-R1,trait,2325,4246040,83.1105687
DeepSeek-R1,dollars,2308,4248348,83.15574472
DeepSeek-R1,well,2270,4250618,83.20017695
DeepSeek-R1,drives,2265,4252883,83.2445113
DeepSeek-R1,confronting,2264,4255147,83.28882608
DeepSeek-R1,fuel,2253,4257400,83.33292555
DeepSeek-R1,harmony,2249,4259649,83.37694672
DeepSeek-R1,isn,2246,4261895,83.42090918
DeepSeek-R1,supports,2234,4264129,83.46463675
DeepSeek-R1,disapproval,2230,4266359,83.50828602
DeepSeek-R1,stays,2226,4268585,83.551857
DeepSeek-R1,shows,2221,4270806,83.59533011
DeepSeek-R1,extremely,2216,4273022,83.63870536
DeepSeek-R1,sustained,2216,4275238,83.6820806
DeepSeek-R1,expected,2199,4277437,83.72512309
DeepSeek-R1,vindication,2198,4279635,83.76814601
