AA_valence	AA_arousal	choice	AC_valence	AC_arousal	EmoFDBK_valence	EmoFDBK_arousal	Output
-20	30	1	15	40	35.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 40
50	10	0	60	5	10.0	-5.0	AA_valence = 50, AA_arousal = 10, choice = 0, AC_valence = 60, AC_arousal = 5
-15	30	1	20	40	35.0	10.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-10	15	1	20	30	30.0	15.0	AA_valence = -10, AA_arousal = 15, choice = 1, AC_valence = 20, AC_arousal = 30
75	10	0	80	5	5.0	-5.0	AA_valence = 75, AA_arousal = 10, choice = 0, AC_valence = 80, AC_arousal = 5
-10	20	1	30	40	40.0	20.0	AA_valence = -10, AA_arousal = 20, choice = 1, AC_valence = 30, AC_arousal = 40
-20	30	1	10	40	30.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 10, AC_arousal = 40
-20	35	1	10	40	30.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 40
-15	30	1	20	40	35.0	10.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	30	1	15	40	35.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 40
-15	30	1	20	40	35.0	10.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	30	1	10	40	30.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 10, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-15	30	1	20	40	35.0	10.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-15	25	1	10	30	25.0	5.0	AA_valence = -15, AA_arousal = 25, choice = 1, AC_valence = 10, AC_arousal = 30
50	10	0	50	10	0.0	0.0	AA_valence = 50, AA_arousal = 10, choice = 0, AC_valence = 50, AC_arousal = 10
80	10	0	85	5	5.0	-5.0	AA_valence = 80, AA_arousal = 10, choice = 0, AC_valence = 85, AC_arousal = 5
-20	30	1	15	40	35.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 40
-20	30	1	15	40	35.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-40	30	1	20	50	60.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 50
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
50	10	0	50	10	0.0	0.0	AA_valence = 50, AA_arousal = 10, choice = 0, AC_valence = 50, AC_arousal = 10
-20	30	1	10	40	30.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 10, AC_arousal = 40
-15	30	1	20	40	35.0	10.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-40	35	1	20	50	60.0	15.0	AA_valence = -40, AA_arousal = 35, choice = 1, AC_valence = 20, AC_arousal = 50
-20	35	1	15	50	35.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 50
-20	35	1	10	50	30.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 50
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	35	1	15	50	35.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 50
80	10	0	85	5	5.0	-5.0	AA_valence = 80, AA_arousal = 10, choice = 0, AC_valence = 85, AC_arousal = 5
-20	35	1	10	50	30.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 50
-40	35	1	20	50	60.0	15.0	AA_valence = -40, AA_arousal = 35, choice = 1, AC_valence = 20, AC_arousal = 50
50	10	0	50	10	0.0	0.0	AA_valence = 50, AA_arousal = 10, choice = 0, AC_valence = 50, AC_arousal = 10
-20	35	1	30	50	50.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 30, AC_arousal = 50
-20	35	1	10	50	30.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 50
-20	35	1	10	40	30.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 40
50	10	0	60	5	10.0	-5.0	AA_valence = 50, AA_arousal = 10, choice = 0, AC_valence = 60, AC_arousal = 5
-20	30	1	15	40	35.0	10.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 40
-40	35	1	20	50	60.0	15.0	AA_valence = -40, AA_arousal = 35, choice = 1, AC_valence = 20, AC_arousal = 50
50	10	0	50	10	0.0	0.0	AA_valence = 50, AA_arousal = 10, choice = 0, AC_valence = 50, AC_arousal = 10
-20	35	1	10	50	30.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 50
80	10	0	85	5	5.0	-5.0	AA_valence = 80, AA_arousal = 10, choice = 0, AC_valence = 85, AC_arousal = 5
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	35	1	30	50	50.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 30, AC_arousal = 50
-20	35	1	10	50	30.0	15.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 50
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-15	30	1	20	40	35.0	10.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-15	30	1	20	40	35.0	10.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-20	35	1	15	40	35.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 40
-20	35	1	10	40	30.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 40
-10	30	1	20	40	30.0	10.0	AA_valence = -10, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 40
-20	35	1	10	40	30.0	5.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 10, AC_arousal = 40
-15	30	1	20	45	35.0	15.0	AA_valence = -15, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 45
