AA_valence	AA_arousal	choice	AC_valence	AC_arousal	EmoFDBK_valence	EmoFDBK_arousal	Output
-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
-40	30	1	-70	50	-30.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
-50	20	1	-70	30	-20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
-50	20	1	-70	40	-20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
-20	10	0	-15	5	5.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -15, AC_arousal = 5
-50	30	1	-20	40	30.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 40
-40	30	1	-60	40	-20.0	10.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -60, AC_arousal = 40
-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
-70	30	1	-50	40	20.0	10.0	AA_valence = -70, AA_arousal = 30, choice = 1, AC_valence = -50, AC_arousal = 40
-20	10	1	-30	20	-10.0	10.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -30, AC_arousal = 20
-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
-50	30	1	-80	40	-30.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 40
-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
-40	20	1	-30	35	10.0	15.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 35
-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
-60	20	1	-70	40	-10.0	20.0	AA_valence = -60, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
-50	20	1	-70	30	-20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
-40	30	1	-20	50	20.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 50
-20	10	0	5	3	25.0	-7.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = 5, AC_arousal = 3
-40	20	0	-10	15	30.0	-5.0	AA_valence = -40, AA_arousal = 20, choice = 0, AC_valence = -10, AC_arousal = 15
-20	10	1	-15	20	5.0	10.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -15, AC_arousal = 20
-60	20	1	-70	30	-10.0	10.0	AA_valence = -60, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
-40	20	1	-60	40	-20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 40
-50	30	1	-30	40	20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -30, AC_arousal = 40
-70	30	1	-80	40	-10.0	10.0	AA_valence = -70, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 40
-40	30	1	-70	50	-30.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
-20	10	1	-30	20	-10.0	10.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -30, AC_arousal = 20
-50	20	1	-30	30	20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 30
-50	20	1	-70	60	-20.0	40.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
-70	30	1	-90	70	-20.0	40.0	AA_valence = -70, AA_arousal = 30, choice = 1, AC_valence = -90, AC_arousal = 70
-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
-50	20	1	-30	40	20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 40
-40	25	1	-60	70	-20.0	45.0	AA_valence = -40, AA_arousal = 25, choice = 1, AC_valence = -60, AC_arousal = 70
-20	30	0	-5	15	15.0	-15.0	AA_valence = -20, AA_arousal = 30, choice = 0, AC_valence = -5, AC_arousal = 15
-20	15	0	-5	10	15.0	-5.0	AA_valence = -20, AA_arousal = 15, choice = 0, AC_valence = -5, AC_arousal = 10
-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
-30	20	0	25	10	55.0	-10.0	AA_valence = -30, AA_arousal = 20, choice = 0, AC_valence = 25, AC_arousal = 10
-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
-40	20	1	-60	40	-20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 40
-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
-20	30	1	-40	60	-20.0	30.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = -40, AC_arousal = 60
-45	20	1	-65	40	-20.0	20.0	AA_valence = -45, AA_arousal = 20, choice = 1, AC_valence = -65, AC_arousal = 40
-25	20	1	-40	35	-15.0	15.0	AA_valence = -25, AA_arousal = 20, choice = 1, AC_valence = -40, AC_arousal = 35
-40	20	0	-10	10	30.0	-10.0	AA_valence = -40, AA_arousal = 20, choice = 0, AC_valence = -10, AC_arousal = 10
-60	40	0	-20	30	40.0	-10.0	AA_valence = -60, AA_arousal = 40, choice = 0, AC_valence = -20, AC_arousal = 30
-60	30	0	-20	20	40.0	-10.0	AA_valence = -60, AA_arousal = 30, choice = 0, AC_valence = -20, AC_arousal = 20
-70	40	1	-90	60	-20.0	20.0	AA_valence = -70, AA_arousal = 40, choice = 1, AC_valence = -90, AC_arousal = 60
-60	30	1	-80	40	-20.0	10.0	AA_valence = -60, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 40
-60	40	0	-10	30	50.0	-10.0	AA_valence = -60, AA_arousal = 40, choice = 0, AC_valence = -10, AC_arousal = 30
-40	20	1	-60	40	-20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 40
-30	15	1	-20	40	10.0	25.0	AA_valence = -30, AA_arousal = 15, choice = 1, AC_valence = -20, AC_arousal = 40
-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
-60	40	1	-80	60	-20.0	20.0	AA_valence = -60, AA_arousal = 40, choice = 1, AC_valence = -80, AC_arousal = 60
-40	15	1	-70	25	-30.0	10.0	AA_valence = -40, AA_arousal = 15, choice = 1, AC_valence = -70, AC_arousal = 25
-20	30	1	-30	50	-10.0	20.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = -30, AC_arousal = 50
-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
-50	20	1	-70	60	-20.0	40.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
