Source,word,n
DeepSeek-R1,emotional,125845
DeepSeek-R1,player,114896
DeepSeek-R1,sensitivity,113281
DeepSeek-R1,justice,102976
DeepSeek-R1,high,101977
DeepSeek-R1,choice,92948
DeepSeek-R1,prosocial,90202
DeepSeek-R1,fairness,76595
DeepSeek-R1,arousal,72857
DeepSeek-R1,low,70018
DeepSeek-R1,cost,62723
DeepSeek-R1,punishing,55650
DeepSeek-R1,seeing,48925
DeepSeek-R1,valence,48573
DeepSeek-R1,choices,48032
DeepSeek-R1,reactivity,47874
DeepSeek-R1,intensity,47442
DeepSeek-R1,unfairness,46051
DeepSeek-R1,punish,46016
DeepSeek-R1,feels,45133
DeepSeek-R1,depression,44142
DeepSeek-R1,score,41027
DeepSeek-R1,punishment,37944
DeepSeek-R1,injustice,37896
DeepSeek-R1,post,37362
DeepSeek-R1,unfair,36338
DeepSeek-R1,frustration,34576
DeepSeek-R1,strong,33994
DeepSeek-R1,satisfaction,33505
DeepSeek-R1,social,31555
DeepSeek-R1,despite,31519
DeepSeek-R1,negative,31054
DeepSeek-R1,initial,30258
DeepSeek-R1,though,29592
DeepSeek-R1,keep,27628
DeepSeek-R1,autism,27519
DeepSeek-R1,fair,27472
DeepSeek-R1,routine,26974
DeepSeek-R1,action,26726
DeepSeek-R1,anger,25937
DeepSeek-R1,aligns,25910
DeepSeek-R1,giving,25883
DeepSeek-R1,triggers,25768
DeepSeek-R1,residual,24508
DeepSeek-R1,mild,23304
DeepSeek-R1,positive,23158
DeepSeek-R1,note,22453
DeepSeek-R1,due,22065
DeepSeek-R1,scores,21105
DeepSeek-R1,societal,20512
DeepSeek-R1,relief,20479
DeepSeek-R1,average,20436
DeepSeek-R1,tension,20140
DeepSeek-R1,enforcing,19224
DeepSeek-R1,intense,19087
DeepSeek-R1,values,18907
DeepSeek-R1,slightly,18723
DeepSeek-R1,duration,18476
DeepSeek-R1,amplifies,18396
DeepSeek-R1,subscore,18249
DeepSeek-R1,orientation,17644
DeepSeek-R1,agitation,17304
DeepSeek-R1,extreme,17300
DeepSeek-R1,personality,17114
DeepSeek-R1,decision,16973
DeepSeek-R1,makes,16161
DeepSeek-R1,emotion,16014
DeepSeek-R1,split,15979
DeepSeek-R1,negativity,15911
DeepSeek-R1,personal,15850
DeepSeek-R1,earnings,15750
DeepSeek-R1,reaction,15521
DeepSeek-R1,lingers,15373
DeepSeek-R1,allocation,15168
DeepSeek-R1,aa,14843
DeepSeek-R1,ac,14826
DeepSeek-R1,costs,14556
DeepSeek-R1,paying,14452
DeepSeek-R1,elevated,14410
DeepSeek-R1,profile,14381
DeepSeek-R1,somatic,14116
DeepSeek-R1,feel,14029
DeepSeek-R1,imbalance,13950
DeepSeek-R1,prioritize,13756
DeepSeek-R1,moral,13717
DeepSeek-R1,individual,13434
DeepSeek-R1,upholding,13351
DeepSeek-R1,undifferentiated,13334
DeepSeek-R1,acting,13273
DeepSeek-R1,loss,13078
DeepSeek-R1,tendency,12853
DeepSeek-R1,behavior,12456
DeepSeek-R1,greed,12151
DeepSeek-R1,competitive,12144
DeepSeek-R1,adrenaline,11942
DeepSeek-R1,moderate,11716
DeepSeek-R1,spikes,11688
DeepSeek-R1,risk,11600
DeepSeek-R1,traits,11386
DeepSeek-R1,emotions,10957
DeepSeek-R1,symptoms,10943
DeepSeek-R1,preference,10752
DeepSeek-R1,self,10748
DeepSeek-R1,visceral,10639
DeepSeek-R1,heightened,10638
DeepSeek-R1,calm,10591
DeepSeek-R1,related,10523
DeepSeek-R1,nature,10233
DeepSeek-R1,zero,10210
DeepSeek-R1,mildly,9825
DeepSeek-R1,exploitation,9681
DeepSeek-R1,amplify,9488
DeepSeek-R1,act,9467
DeepSeek-R1,rigidity,9451
DeepSeek-R1,gain,9447
DeepSeek-R1,conflict,9383
DeepSeek-R1,remains,9355
DeepSeek-R1,aligning,9228
DeepSeek-R1,especially,9089
DeepSeek-R1,reflect,8924
DeepSeek-R1,tendencies,8579
DeepSeek-R1,total,8579
DeepSeek-R1,accepting,8578
DeepSeek-R1,slight,8563
DeepSeek-R1,still,8445
DeepSeek-R1,baseline,8358
DeepSeek-R1,without,8266
DeepSeek-R1,make,8223
DeepSeek-R1,demands,8173
DeepSeek-R1,overrides,8138
DeepSeek-R1,lingering,7794
DeepSeek-R1,interest,7652
DeepSeek-R1,take,7545
DeepSeek-R1,discomfort,7530
DeepSeek-R1,drive,7523
DeepSeek-R1,outrage,7489
DeepSeek-R1,like,7468
DeepSeek-R1,accept,7312
DeepSeek-R1,proself,7247
DeepSeek-R1,irritation,6978
DeepSeek-R1,prevents,6952
DeepSeek-R1,prioritizes,6948
DeepSeek-R1,even,6926
DeepSeek-R1,positivity,6904
DeepSeek-R1,fuels,6841
DeepSeek-R1,focus,6838
DeepSeek-R1,activation,6766
DeepSeek-R1,bias,6732
DeepSeek-R1,lower,6642
DeepSeek-R1,enforce,6602
DeepSeek-R1,imagination,6550
DeepSeek-R1,amplified,6519
DeepSeek-R1,reducing,6463
DeepSeek-R1,drops,6451
DeepSeek-R1,deeply,6361
DeepSeek-R1,outweighs,6276
DeepSeek-R1,blatant,6225
DeepSeek-R1,offer,6200
DeepSeek-R1,explanation,6182
DeepSeek-R1,means,6136
DeepSeek-R1,breakdown,6087
DeepSeek-R1,affect,5919
DeepSeek-R1,person,5876
DeepSeek-R1,contradicts,5831
DeepSeek-R1,acceptance,5812
DeepSeek-R1,less,5778
DeepSeek-R1,sub,5754
DeepSeek-R1,financial,5711
DeepSeek-R1,keeps,5686
DeepSeek-R1,intensely,5620
DeepSeek-R1,since,5619
DeepSeek-R1,necessary,5598
DeepSeek-R1,distress,5596
DeepSeek-R1,patterns,5578
DeepSeek-R1,perceived,5504
DeepSeek-R1,equity,5477
DeepSeek-R1,letting,5384
DeepSeek-R1,minimal,5354
DeepSeek-R1,override,5336
DeepSeek-R1,reactions,5333
DeepSeek-R1,reduces,5311
DeepSeek-R1,numbers,5260
DeepSeek-R1,calmer,5258
DeepSeek-R1,core,5228
DeepSeek-R1,energy,5223
DeepSeek-R1,focused,5205
DeepSeek-R1,reduced,5170
DeepSeek-R1,switching,5138
DeepSeek-R1,need,5107
DeepSeek-R1,choosing,5048
DeepSeek-R1,individualistic,5038
DeepSeek-R1,improves,5012
DeepSeek-R1,resolve,4957
DeepSeek-R1,skills,4907
DeepSeek-R1,keeping,4869
DeepSeek-R1,slide,4868
DeepSeek-R1,violates,4813
DeepSeek-R1,prolongs,4775
DeepSeek-R1,rule,4771
DeepSeek-R1,lifts,4761
DeepSeek-R1,taking,4736
DeepSeek-R1,rigid,4623
DeepSeek-R1,response,4574
DeepSeek-R1,violation,4536
DeepSeek-R1,avoiding,4416
DeepSeek-R1,y,4389
DeepSeek-R1,strongly,4342
DeepSeek-R1,deliberately,4314
DeepSeek-R1,intensifies,4249
DeepSeek-R1,physical,4246
DeepSeek-R1,spike,4228
DeepSeek-R1,reflects,4197
DeepSeek-R1,resolution,4177
DeepSeek-R1,autistic,4162
DeepSeek-R1,inequity,4146
DeepSeek-R1,cognitive,4139
DeepSeek-R1,based,4134
DeepSeek-R1,balance,4111
DeepSeek-R1,toward,4070
DeepSeek-R1,physiological,4066
DeepSeek-R1,pragmatic,4021
DeepSeek-R1,collective,4019
DeepSeek-R1,making,3989
DeepSeek-R1,correcting,3985
DeepSeek-R1,norms,3982
DeepSeek-R1,tempers,3977
DeepSeek-R1,surge,3959
DeepSeek-R1,driven,3921
DeepSeek-R1,perfectly,3913
DeepSeek-R1,resolving,3868
DeepSeek-R1,punitive,3830
DeepSeek-R1,monetary,3821
DeepSeek-R1,decisive,3814
DeepSeek-R1,responses,3808
DeepSeek-R1,expectations,3804
DeepSeek-R1,character,3705
DeepSeek-R1,interpersonal,3697
DeepSeek-R1,prioritizing,3668
DeepSeek-R1,identity,3664
DeepSeek-R1,grim,3652
DeepSeek-R1,selfish,3642
DeepSeek-R1,morally,3613
DeepSeek-R1,rules,3612
DeepSeek-R1,sparks,3611
DeepSeek-R1,triggering,3609
DeepSeek-R1,enforcement,3601
DeepSeek-R1,selfishness,3600
DeepSeek-R1,decreases,3575
DeepSeek-R1,resolves,3554
DeepSeek-R1,moderately,3548
DeepSeek-R1,fury,3546
DeepSeek-R1,peak,3518
DeepSeek-R1,stings,3489
DeepSeek-R1,deviation,3476
DeepSeek-R1,neutral,3408
DeepSeek-R1,observer,3404
DeepSeek-R1,consequences,3316
DeepSeek-R1,clashes,3260
DeepSeek-R1,brings,3144
DeepSeek-R1,trigger,3142
DeepSeek-R1,cooperative,3115
DeepSeek-R1,justified,3110
DeepSeek-R1,psychological,3094
DeepSeek-R1,disgust,3092
DeepSeek-R1,unnecessary,3092
DeepSeek-R1,calmness,3091
DeepSeek-R1,feelings,3080
DeepSeek-R1,shifts,3076
DeepSeek-R1,demand,3063
