Source,word,n,cumulative_freq,cumulative_pct
DeepSeek-R1,betray,671,4697457,91.94645427934167
DeepSeek-R1,desire,670,4698127,91.9595686355491
DeepSeek-R1,key,667,4698794,91.9726242707586
DeepSeek-R1,difficulty,665,4699459,91.98564075863615
DeepSeek-R1,react,665,4700124,91.99865724651369
DeepSeek-R1,correction,662,4700786,92.01161501339328
DeepSeek-R1,rosocial,661,4701447,92.0245532066069
DeepSeek-R1,offsetting,661,4702108,92.03749139982051
DeepSeek-R1,exactly,658,4702766,92.05037087203618
DeepSeek-R1,ike,657,4703423,92.06323077058588
DeepSeek-R1,motives,657,4704080,92.07609066913555
DeepSeek-R1,earns,655,4704735,92.08891142035328
DeepSeek-R1,expectation,653,4705388,92.10169302423905
DeepSeek-R1,generally,650,4706038,92.11441590712687
DeepSeek-R1,closure,649,4706687,92.1271192163487
DeepSeek-R1,energized,648,4707335,92.13980295190457
DeepSeek-R1,ease,646,4707981,92.15244754012846
DeepSeek-R1,far,642,4708623,92.16501383368843
DeepSeek-R1,principled,639,4709262,92.17752140625046
DeepSeek-R1,concern,639,4709901,92.19002897881249
DeepSeek-R1,unchecked,636,4710537,92.20247783037657
DeepSeek-R1,instincts,635,4711172,92.21490710827467
DeepSeek-R1,predictability,635,4711807,92.22733638617278
DeepSeek-R1,worthwhile,635,4712442,92.23976566407087
DeepSeek-R1,neutrality,632,4713074,92.25213622097102
DeepSeek-R1,settles,632,4713706,92.26450677787119
DeepSeek-R1,extremes,632,4714338,92.27687733477134
DeepSeek-R1,charged,631,4714969,92.28922831800553
DeepSeek-R1,enabling,631,4715600,92.3015793012397
DeepSeek-R1,impulsive,630,4716230,92.31391071080789
DeepSeek-R1,dominant,380,4832812,94.59584783823539
DeepSeek-R1,ethically,380,4833192,94.60328583130827
DeepSeek-R1,profound,380,4833572,94.61072382438115
DeepSeek-R1,role,380,4833952,94.61816181745404
DeepSeek-R1,suspicion,380,4834332,94.62559981052692
DeepSeek-R1,final,379,4834711,94.63301822993381
DeepSeek-R1,provoke,379,4835090,94.64043664934071
DeepSeek-R1,jolt,378,4835468,94.64783549508162
DeepSeek-R1,efficiently,377,4835845,94.65521476715656
DeepSeek-R1,felt,376,4836221,94.66257446556551
DeepSeek-R1,boost,375,4836596,94.6699145903085
DeepSeek-R1,surprise,375,4836971,94.67725471505146
DeepSeek-R1,reasoning,375,4837346,94.68459483979443
DeepSeek-R1,extra,372,4837718,94.69187624353947
DeepSeek-R1,fits,371,4838089,94.69913807361851
DeepSeek-R1,society,371,4838460,94.70639990369756
DeepSeek-R1,exacerbates,371,4838831,94.7136617337766
DeepSeek-R1,hard,369,4839200,94.7208844165237
DeepSeek-R1,heighten,369,4839569,94.72810709927079
DeepSeek-R1,challenges,368,4839937,94.73531020835189
DeepSeek-R1,determination,367,4840304,94.74249374376701
DeepSeek-R1,loses,367,4840671,94.74967727918214
DeepSeek-R1,deeper,367,4841038,94.75686081459726
DeepSeek-R1,apathy,367,4841405,94.76404435001238
DeepSeek-R1,ambiguity,366,4841771,94.77120831176153
DeepSeek-R1,svo,366,4842137,94.77837227351067
DeepSeek-R1,unresolved,366,4842503,94.7855362352598
DeepSeek-R1,genuine,365,4842868,94.79268062334296
DeepSeek-R1,minimizes,365,4843233,94.79982501142614
DeepSeek-R1,violently,364,4843597,94.80694982584332
